"Facility_hydroid","Facility","Use_Type","Locality","FIPS_code","dh_geofield"
67140,"Naval Security Activity Northwest","commercial","Chesapeake",51550,"POINT (-76.25061111 36.56947222)"
67141,"NTGarigulo LP Bull Farm","agriculture","Northampton",51131,""
67142,"Hells Point Golf Club","commercial","Virginia Beach",51810,"POINT (-75.9835352 36.7428498)"
67143,"Chesapeake Cove","municipal","Northumberland",51133,"POINT (-76.405177412695 37.912254676129)"
67144,"Custis Farm","agriculture","Northampton",51131,"POINT (-75.8277861111 37.49960277777)"
67145,"Camp Farm","irrigation","Southampton",51175,"POINT (-76.9324311 36.6322964)"
67146,"Smithfield Packing Co. Inc - Ham and Products Division","agriculture","Isle of Wight",51093,"POINT (-76.631096 36.989875)"
67147,"Kenwood Farms","municipal","New Kent",51127,""
67148,"Chesapeake Golf Club","commercial","Chesapeake",51550,""
67150,"Rockahock Campground","commercial","New Kent",51127,"POINT (-76.9330521 37.4044598)"
67151,"William Hughes Apartments","municipal","Northampton",51131,"POINT (-75.9321014 37.3610516)"
67152,"Cherrystone Family Camping Resort","commercial","Northampton",51131,"POINT (-76.0108611 37.28575)"
67153,"US NASA -Goddard Space Flight Center - Main Base","commercial","Accomack",51001,"POINT (-75.4705 37.934527777778)"
67155,"Walker Farm","irrigation","Accomack",51001,"POINT (-75.80691666666 37.615558333333)"
67157,"Agri-Business Industrial Park","commercial","Southampton",51175,"POINT (-77.0389573 36.689224)"
67158,"High Point Farms","municipal","Hanover",51085,"POINT (-77.32416666 37.5922222)"
67159,"Cropperville Farm","agriculture","Accomack",51001,""
67160,"Cavalier Golf and Yacht Club","commercial","Virginia Beach",51810,"POINT (-76.0055934 36.8684316)"
67162,"Waverly Plant","manufacturing","Sussex",51183,""
67163,"Mitchell and Smith Division","commercial","Norfolk",51710,""
67165,"Norfolk City of Nursery","irrigation","Chesapeake",51550,"POINT (-76.196853 36.6113059)"
67168,"Strawhorne","municipal","Hanover",51085,"POINT (-77.335681680556 37.647739225)"
67169,"Cedar Point Club Incorporated","commercial","Suffolk",51800,"POINT (-76.488055555 36.9005555)"
67170,"Surry Town of","municipal","Surry",51181,"POINT (-76.83611111 37.13805555)"
67171,"Peace Nurseries Turkey Hill Farm","irrigation","Hanover",51085,"POINT (-77.270816 37.55935)"
67172,"Christchurch School","municipal","Middlesex",51119,"POINT (-76.5480555556 37.6125)"
67174,"Birchwood Power Facility","fossilpower","King George",51099,"POINT (-77.3145909 38.2834961)"
67175,"Turner Farm","agriculture","Northampton",51131,"POINT (-75.875512861111 37.5003379)"
67177,"Bayville Golf Club","commercial","Virginia Beach",51810,"POINT (-76.117602 36.9033452)"
67178,"AL Mathews","agriculture","Accomack",51001,"POINT (-75.754751 37.7066339)"
67179,"Kluis Nurseries","agriculture","Accomack",51001,""
67180,"Eastville Town of","municipal","Northampton",51131,"POINT (-75.943765640259 37.356462315626)"
67181,"Nansemond Shores","commercial","Suffolk",51800,""
67182,"Food Lion Industrial Water Supply","manufacturing","Prince George",51149,"POINT (-77.286527777778 37.158611111)"
67184,"Town of Bowling Green Water System","municipal","Caroline",51033,"POINT (-77.345262765884 38.051540837424)"
67185,"Solenis, LLC - Suffolk Site (Formerly known as BASF Corporation)","manufacturing","Suffolk",51800,"POINT (-76.541679 36.77714)"
67186,"Bethel Landfill","manufacturing","Hampton",51650,"POINT (-76.435306 37.077756)"
67188,"Charles Hurst","agriculture","Accomack",51001,""
67189,"Bull Farm","irrigation","Accomack",51001,"POINT (-75.6596944444 37.686527777778)"
67191,"Rushmere","municipal","Isle of Wight",51093,"POINT (-76.676475 37.0624555)"
67192,"Days Point","municipal","Isle of Wight",51093,"POINT (-76.6044444 37.02777777)"
67193,"Sedley Water Company","municipal","Southampton",51175,"POINT (-76.982361111 36.77522222)"
67194,"Branchville Boykins","municipal","Southampton",51175,"POINT (-77.1975 36.584722222)"
67195,"Franklin City Water System","municipal","Franklin City",51620,"POINT (-76.923007965088 36.673584893416)"
67196,"Walnut Grove","municipal","Hanover",51085,"POINT (-77.346722222222 37.601413888889)"
67197,"Smithfield Hog Production Farms 13 & 14","agriculture","Sussex",51183,"POINT (-77.0398888 36.94105555)"
67198,"DiCanio Residential Communities","commercial","Northampton",51131,""
67199,"Town of Parksley Water Works","municipal","Accomack",51001,"POINT (-75.6508852 37.7839455)"
67200,"Mount Warren (Custis) Farms","agriculture","Northampton",51131,"POINT (-75.838305555556 37.487861111111)"
67201,"New Kent Courthouse","municipal","New Kent",51127,"POINT (-76.985534 37.5096)"
67204,"Newman Farms","irrigation","Northampton",51131,"POINT (-75.904827892187 37.382812010043)"
67205,"College of William and Mary","commercial","Williamsburg",51830,"POINT (-76.708888888889 37.270833333333)"
67206,"Cherrydale","municipal","Hanover",51085,"POINT (-77.323855555556 37.621230555556)"
67207,"US NASA -Goddard Space Flight Center - Island System","commercial","Accomack",51001,"POINT (-75.510833333 37.85944444)"
67208,"Royster Clark Inc - Chesapeake","commercial","Chesapeake",51550,""
67210,"Cubberley Farms","agriculture","Northampton",51131,""
67211,"Pampatike Hill Farm","agriculture","King William",51101,"POINT (-77.135277777778 37.681944444444)"
67212,"Sea Watch International Limited Cheriton Plant","manufacturing","Northampton",51131,""
67213,"Carrsville Water System","municipal","Isle of Wight",51093,"POINT (-76.82186111 36.7103888)"
67214,"CL Obrey","municipal","Isle of Wight",51093,""
67216,"Scottswood Subdivision Water System","municipal","Southampton",51175,"POINT (-76.981672222 36.7063888)"
67218,"Smithfield Fresh Meats Corp. - Smithfield VA","manufacturing","Isle of Wight",51093,"POINT (-76.6292338 36.9943249)"
67219,"Oak Springs Subdivision","municipal","King William",51101,"POINT (-77.138055555 37.7745555)"
67220,"Dominion Terminal Associates","commercial","Newport News",51700,"POINT (-76.421928405762 36.9662150723)"
67221,"Hermitage Farms Nursery","irrigation","Northampton",51131,"POINT (-75.8833734 37.4717677)"
67223,"Simpson Farm","agriculture","Accomack",51001,""
67224,"Surry Power Station","nuclearpower","Surry",51181,"POINT (-76.693369572222 37.158876802778)"
67227,"Perdue Farms","agriculture","Accomack",51001,"POINT (-75.653444444 37.734083333)"
67228,"BASF - Portsmouth Plant","manufacturing","Portsmouth",51740,"POINT (-76.343953 36.863719)"
67232,"Rappahannock Westminster - Canterbury","municipal","Lancaster",51103,"POINT (-76.4000969 37.676194)"
67233,"Smithfield Hog Production Farms 6-8","agriculture","Southampton",51175,"POINT (-77.039666666667 36.862222222222)"
67234,"Wayside Well System","municipal","Charles City",51036,"POINT (-77.189461111 37.373347222)"
67235,"Wakefield Town of Municipal Water Supply System","municipal","Sussex",51183,"POINT (-76.9871902 36.9689379)"
67236,"Potomac and Westmoreland Shores","municipal","Westmoreland",51193,"POINT (-76.963583 38.2545737)"
67238,"Jones 2 Farm","irrigation","Northampton",51131,"POINT (-75.900833 37.455)"
67239,"Dennis Nursery","agriculture","Accomack",51001,""
67240,"Money Point Plant","manufacturing","Chesapeake",51550,"POINT (-76.2943412 36.7890463)"
67241,"Arbor Meadows","commercial","Suffolk",51800,""
67242,"Rivers Bend Estates","municipal","Northumberland",51133,"POINT (-76.419615467676 37.886396546768)"
67243,"Campostella Ready Mix Plant","manufacturing","Norfolk",51710,"POINT (-76.265384 36.843456)"
67247,"Melfa Farm","agriculture","Accomack",51001,"POINT (-75.720758333333 37.643883333333)"
67248,"Chippokes Plantation State Park","commercial","Surry",51181,"POINT (-76.7405041 37.1462662)"
67249,"Stratford Harbour","municipal","Westmoreland",51193,"POINT (-76.8348751 38.1440193)"
67252,"Outdoor World Williamsburg","commercial","James City",51095,"POINT (-76.769851 37.3883423)"
67254,"Suffolk Plant Number 5","manufacturing","Suffolk",51800,""
67255,"Cardinal Golf Course at Fort Lee","commercial","Prince George",51149,"POINT (-77.344255 37.2449852)"
67256,"Smithfield Hog Production Feedmill","agriculture","Sussex",51183,"POINT (-77.152 37.07458333)"
67257,"Captain's Cove Utility Company, Inc.","commercial","Accomack",51001,"POINT (-75.4188106 37.999378)"
67258,"Lamberts Point Coal Piers","manufacturing","Norfolk",51710,""
67259,"Scot's Landing Subdivision","municipal","Hanover",51085,"POINT (-77.2594006 37.6856124)"
67261,"Solenis LLC","manufacturing","Southampton",51175,"POINT (-77.000561 36.650663)"
67262,"Corrotoman by the Bay Water System","municipal","Lancaster",51103,"POINT (-76.7580139 37.9587446)"
67263,"Smithfield Hog Production Farms 1 through 5","agriculture","Isle of Wight",51093,"POINT (-76.84725 36.970138888889)"
67264,"Quinton Park Water System","municipal","New Kent",51127,"POINT (-77.172341 37.520891)"
67265,"Williamsburg -number 4","commercial","James City",51095,"POINT (-76.792777 37.29361111)"
67266,"Gillespe Farm","irrigation","Accomack",51001,"POINT (-75.570908333333 37.833358333333)"
67267,"Elizabeth Manor Golf and Country Club","commercial","Portsmouth",51740,"POINT (-76.3990724 36.8184519)"
67268,"Ashby Subdivision Water System","municipal","Isle of Wight",51093,"POINT (-76.5815803 36.9009046)"
67269,"Norfolk Assembly Plant","manufacturing","Norfolk",51710,""
67270,"Capron Town of","municipal","Southampton",51175,"POINT (-77.2048055555 36.703983333)"
67271,"Deerfield Subdivision","municipal","Suffolk",51800,""
67272,"Commonwealth Chesapeake Power Station","fossilpower","Accomack",51001,"POINT (-75.5385676 37.9902925)"
67274,"Cypress Point Country Club","commercial","Virginia Beach",51810,"POINT (-76.1639317 36.8767464)"
67275,"Bayshore Concrete Products Corp Cape Charles","manufacturing","Northampton",51131,"POINT (-76.0224722 37.2589446)"
67276,"VCCS -Tidewater Community College","municipal","Suffolk",51800,""
67277,"Lively Public Water System","municipal","Lancaster",51103,"POINT (-76.4846421 37.7694193)"
67278,"Integrated Fisheries International Limited","commercial","Accomack",51001,"POINT (-75.559000976135 37.854757273349)"
67279,"Perkins Farm","agriculture","Northampton",51131,""
67280,"Wildwood Farms","commercial","Prince George",51149,"POINT (-77.3600334 37.1741254)"
67281,"Holts Neck Farm","agriculture","Northampton",51131,""
67283,"Fort Eustis","municipal","Newport News",51700,"POINT (-76.595822 37.1600251)"
67284,"Holland Water System","municipal","Suffolk",51800,"POINT (-76.780702968481 36.6819611789)"
67285,"St. Paul's Church CWS","municipal","King George",51099,""
67286,"Tidewater  Growers","agriculture","Accomack",51001,""
67287,"White Stone Public Water System","municipal","Lancaster",51103,"POINT (-76.3910897 37.6475582)"
67290,"Virginia Beach National Golf Course","commercial","Virginia Beach",51810,"POINT (-76.0746097 36.7593697)"
67291,"Lancaster Farms Incorporated","agriculture","Suffolk",51800,"POINT (-76.463595 36.865129)"
67292,"Broaddus Farms","irrigation","Caroline",51033,"POINT (-77.252632 38.014833)"
67293,"Bow Creek Golf Course","commercial","Virginia Beach",51810,"POINT (-76.0903423 36.8217476)"
67294,"Waverly Town of Municipal Water Supply System","municipal","Sussex",51183,"POINT (-77.095 37.03472222)"
67295,"Richmond Cold Storage - Smithfield Plant","manufacturing","Isle of Wight",51093,"POINT (-76.6291773 37.0032292)"
67296,"Liberty Ridge Subdivision","municipal","James City",51095,"POINT (-76.80963888 37.30813888)"
67297,"Albert G. Horton, Jr. Memorial Veterans Cemetery","commercial","Suffolk",51800,"POINT (-76.641472222 36.82563888)"
67298,"Rescue Water Works","municipal","Isle of Wight",51093,"POINT (-76.558 36.994)"
67299,"Cameron Hills Golf Links","commercial","King George",51099,""
67301,"Accomack County Office Buildings Waterworks","municipal","Accomack",51001,"POINT (-75.6714671 37.720085)"
67303,"Haynesville Correctional Center","municipal","Richmond County",51159,"POINT (-76.662103 37.9591878)"
67305,"Hopyard Farms CWS","municipal","King George",51099,""
67306,"Mobile Estates","municipal","James City",51095,"POINT (-76.763111 37.3401388)"
67307,"Valley Proteins Incorporated Emporia Plant","manufacturing","Southampton",51175,"POINT (-77.4021178 36.6806726)"
67308,"James Farm","agriculture","Accomack",51001,"POINT (-75.688338888889 37.650288888889)"
67309,"Fairview Beach (and Potomac Landing)","municipal","King George",51099,"POINT (-77.247025 38.32855)"
67314,"Williamsburg -number 5","commercial","James City",51095,"POINT (-76.7757297 37.312139)"
67315,"Trails End Utility Company Incorporated","municipal","Accomack",51001,"POINT (-75.450833333333 37.958611111)"
67316,"David's Nursery","irrigation","Northampton",51131,"POINT (-75.893555555556 37.528005555556)"
67317,"Five Lakes #1 Water System","municipal","New Kent",51127,"POINT (-77.177320616 37.50419285833)"
67318,"Becks Water System","municipal","Suffolk",51800,""
67319,"Pier IX/X Terminals","manufacturing","Newport News",51700,"POINT (-76.427605 36.9692399)"
67320,"Petersburg South Inn","commercial","Prince George",51149,""
67321,"Callao Public Water System","municipal","Northumberland",51133,"POINT (-76.5424829 37.96835)"
67322,"Busch Gardens Williamsburg Operations Dept","commercial","James City",51095,"POINT (-76.646509766579 37.234337829314)"
67323,"Town of Port Royal Municipal Water System","municipal","Caroline",51033,"POINT (-77.1919444444 38.168611111)"
67324,"Kuzzens KMC Camp","municipal","Northampton",51131,"POINT (-75.9522327 37.2966829)"
67325,"Greenbrier Farms Nursery","agriculture","Chesapeake",51550,"POINT (-76.2247601 36.6484556)"
67327,"USN Naval Public Works Center - Driver Wells","commercial","Suffolk",51800,""
67328,"Weaver Farm","agriculture","Accomack",51001,"POINT (-75.7380555 37.688625)"
67329,"Clayton Whispering Winds Mobile Home Estates, LLC","municipal","Prince George",51149,"POINT (-77.275143 37.2181399)"
67330,"VDOC -Nansemond Correctional Unit number 3","municipal","Isle of Wight",51093,""
67331,"Stratford Hall Plantation","municipal","Westmoreland",51193,"POINT (-76.839449 38.1519269)"
67332,"Mappsville Facility & Labor Housing","commercial","Accomack",51001,"POINT (-75.581082 37.836955)"
67334,"Dahlgren Base","municipal","King George",51099,"POINT (-77.0296855 38.3237118)"
67335,"Salem Crossing Shopping Center","commercial","Virginia Beach",51810,""
67337,"Lake Kilby Water Treatment Facility","municipal","Suffolk",51800,"POINT (-76.602359 36.73027)"
67338,"Cedarwood Subdivision Water System","municipal","Prince George",51149,"POINT (-77.338611111 37.1575)"
67339,"Lewis Farm","agriculture","Accomack",51001,"POINT (-75.603908333333 37.847177777778)"
67341,"Lake Packing Company, Inc.- Processing","manufacturing","Northumberland",51133,"POINT (-76.4705415 37.9727113)"
67342,"Sommers Farm","agriculture","Accomack",51001,"POINT (-75.613744444444 37.829661111111)"
67346,"Laurel Point Subdivision","municipal","Lancaster",51103,"POINT (-76.4225979 37.738651)"
67347,"Indian Creek Estates Public Water System","municipal","Northumberland",51133,"POINT (-76.379669 37.7104135)"
67348,"Edgehill","municipal","Southampton",51175,"POINT (-76.9408895 36.7152622)"
67349,"Eastern Shore Yacht and Country Club","commercial","Accomack",51001,"POINT (-75.8197846 37.6553019)"
67350,"Presidential Lakes #14 Public Water System","municipal","King George",51099,"POINT (-77.2270968 38.2959163)"
67351,"Red Oaks Mobile Community","municipal","Isle of Wight",51093,""
67352,"Sussex Courthouse","municipal","Sussex",51183,"POINT (-77.2798061 36.9149306)"
67353,"Oceana Golf Club","commercial","Virginia Beach",51810,"POINT (-76.0265 36.803638888)"
67355,"Heritage Point Water Works","municipal","Lancaster",51103,""
67356,"Exmore Town of","municipal","Northampton",51131,"POINT (-75.820695294444 37.541414952778)"
67357,"Long Farm","agriculture","Northampton",51131,"POINT (-75.97175 37.234)"
67358,"Cintas, Portsmouth #391","manufacturing","Portsmouth",51740,"POINT (-76.3396599 36.7945814)"
67359,"Mount Vernon Country Club","commercial","Fairfax County",51059,"POINT (-77.1241884 38.715242)"
67360,"Liberty Hall Farm","agriculture","Accomack",51001,""
67361,"Hagan Farm","agriculture","Accomack",51001,"POINT (-75.5425 37.8239)"
67363,"Murro Chemical Company Incorporated","manufacturing","Portsmouth",51740,""
67364,"King William County - Central Garage Water System","municipal","King William",51101,"POINT (-77.1336334 37.7389536)"
67365,"Sunset Beach Resort & Campground","commercial","Northampton",51131,"POINT (-75.968794444444 37.137958333333)"
67366,"Kingsmill Resort","commercial","James City",51095,"POINT (-76.674887537956 37.225053268543)"
67367,"Ed Goin Farm","agriculture","Accomack",51001,"POINT (-75.609972222222 37.820111111)"
67368,"Henely Farm","agriculture","Virginia Beach",51810,""
67370,"Dahlgren CWS","municipal","King George",51099,""
67371,"Smithfield Hog Production Farms 19 & 20","agriculture","Sussex",51183,"POINT (-77.1938055 36.9892222)"
67372,"Bowen Farm","irrigation","Accomack",51001,"POINT (-75.7931111111 37.532777777778)"
67374,"Newsoms Town of","municipal","Southampton",51175,"POINT (-77.066635 36.7153928)"
67375,"Westwood Potato and Grain Farm","irrigation","Hanover",51085,"POINT (-77.166888 37.598895)"
67378,"Tauxemont Community Water System","municipal","Fairfax County",51059,"POINT (-77.054705 38.745726)"
67380,"International Paper Franklin Mill","manufacturing","Isle of Wight",51093,"POINT (-76.8989644 36.6723195)"
67383,"Charles City County School Complex","municipal","Charles City",51036,"POINT (-77.0750911 37.351399)"
67384,"Pine Ridge Community","commercial","Prince George",51149,"POINT (-77.2562476 37.2163735)"
67387,"Broadleaf Farms","irrigation","Accomack",51001,"POINT (-75.728947222222 37.70856666666)"
67388,"Berkley and Ebb Tide Beach Water System","municipal","Westmoreland",51193,"POINT (-76.9661547 38.2037602)"
67389,"Locksley Hall Estates","municipal","Northumberland",51133,""
67391,"Placid Bay Estates","municipal","Westmoreland",51193,"POINT (-76.9852777778 38.1997222222)"
67392,"Duer Home Farm","irrigation","Accomack",51001,"POINT (-75.5765901 37.8343231)"
67394,"Painter Complex","agriculture","Accomack",51001,"POINT (-75.8803741 37.5416899)"
67395,"Tankards Rest","agriculture","Northampton",51131,""
67398,"Sewells Point Golf Course","commercial","Norfolk",51710,"POINT (-76.3169171 36.9472501)"
67399,"Caroline Detention Center","municipal","Caroline",51033,"POINT (-77.265959 38.1104319)"
67402,"Winesett Nursery","irrigation","Virginia Beach",51810,""
67403,"Windsor Public Water System","municipal","Isle of Wight",51093,"POINT (-76.7426475 36.8080246)"
67405,"Williamsburg -number 3","commercial","James City",51095,"POINT (-76.779444 37.3063888)"
67406,"Hanover Farms","municipal","Hanover",51085,"POINT (-77.295555555556 37.579444444444)"
67407,"Courtland Town of","municipal","Southampton",51175,"POINT (-77.0692137 36.7171996)"
67409,"Foxwells Community Water System","municipal","Lancaster",51103,"POINT (-76.3350122 37.6263936)"
67411,"JCSA -Kings Village Subdivision W 31","municipal","James City",51095,"POINT (-76.837475 37.4423805)"
67412,"Hanover Learning Center","municipal","Hanover",51085,"POINT (-77.3425 37.756666666)"
67413,"Cheapside Farm Incorporated","irrigation","Northampton",51131,"POINT (-75.9892523 37.1906848)"
67414,"Birch Island Apartments","municipal","Sussex",51183,"POINT (-76.9748325 36.9737159)"
67415,"Mappsville North Complex","irrigation","Accomack",51001,"POINT (-75.556789 37.870885)"
67416,"Jones 3 Farm","irrigation","Northampton",51131,"POINT (-75.900638888889 37.46875)"
67417,"Wes Powers","agriculture","Accomack",51001,"POINT (-75.664027777778 37.744833333333)"
67418,"Luttrellville Water System","municipal","Richmond County",51159,"POINT (-76.661392216571 38.009363163083)"
67419,"Byrd Farm","agriculture","Accomack",51001,"POINT (-75.592100083333 37.842401694444)"
67420,"Tipton Farm","irrigation","Northampton",51131,"POINT (-75.861433333333 37.445736111111)"
67421,"Ditchley Water Works, Inc","municipal","Northumberland",51133,"POINT (-76.3291666667 37.7336111111)"
67422,"Cahoon Plantation","commercial","Chesapeake",51550,"POINT (-76.2952895 36.7245073)"
67423,"Chesapeake Bay Estates","municipal","Northumberland",51133,"POINT (-76.2536245 37.8404657)"
67424,"Lancaster Courthouse","municipal","Lancaster",51103,"POINT (-76.4751818 37.7997161)"
67425,"JCSA -The Retreat","municipal","James City",51095,"POINT (-76.8578635 37.4150248)"
67426,"City of Suffolk Main System","municipal","Suffolk",51800,"POINT (-76.572986522515 36.864192094852)"
67428,"Guy Produce Farms","agriculture","Northampton",51131,""
67429,"JCSA -Racefield Subdivision W 29","municipal","James City",51095,"POINT (-76.851222 37.42680555)"
67430,"Combined Skimino Banbury and Lightfoot Systems","municipal","York",51199,"POINT (-76.737416666667 37.3566111111)"
67431,"Christian/Ames Farm","irrigation","Accomack",51001,"POINT (-75.8803566 37.5416953)"
67432,"PoorhouseTract/Caroline High School","municipal","Caroline",51033,"POINT (-77.413303148132 37.999969228423)"
67433,"Bottoms Bridge","municipal","New Kent",51127,"POINT (-77.1825629 37.5045513)"
67435,"Fords Colony Section XXXV - (Westport)","municipal","James City",51095,"POINT (-76.8025277 37.2988055)"
67436,"Peach Orchard","agriculture","Accomack",51001,"POINT (-75.654527777778 37.716333333333)"
67437,"Kelley Farm","agriculture","Accomack",51001,"POINT (-75.604752777778 37.745333333333)"
67438,"Smithfield Hog Production Farms 16 & 17","agriculture","Surry",51181,"POINT (-77.068 37.124888888889)"
67442,"Smithfield Hog Production Farm 18","agriculture","Sussex",51183,"POINT (-77.167888888889 36.984277777778)"
67443,"Williamsburg -number 2","commercial","James City",51095,"POINT (-76.7763888 37.3127777)"
67444,"Northeastern Regional Water System","municipal","Sussex",51183,"POINT (-77.278958 36.9127698)"
67446,"Two Rivers Country Club","commercial","James City",51095,"POINT (-76.8515105 37.2520112)"
67447,"Robert Van Dessel Farm","agriculture","Accomack",51001,"POINT (-75.629527777778 37.805138888889)"
67448,"Smithfield Heights Sandy Mount Manor","municipal","Isle of Wight",51093,"POINT (-76.6439722222 36.94533333)"
67449,"I 95 Rest Area Prince George","municipal","Prince George",51149,""
67450,"Indian River Water Company","municipal","Chesapeake",51550,"POINT (-76.2251553 36.8161935)"
67451,"Colonial Forest","municipal","Hanover",51085,"POINT (-77.3572222222 37.6825)"
67452,"Cedar Crest Subdivision","municipal","King William",51101,"POINT (-77.178105555556 37.718447222222)"
67453,"Home Farm","agriculture","Accomack",51001,"POINT (-75.7313186 37.6528707)"
67456,"VDOC -Capron Correctional Unit number 20","municipal","Southampton",51175,""
67581,"Rees Mount Alto","agriculture","Albemarle",51003,"POINT (-78.657366 37.750508)"
67675,"Stella-Jones Corporation","manufacturing","Richmond County",51159,"POINT (-76.7472096 37.9715242)"
67677,"Town of Kilmarnock","municipal","Lancaster",51103,"POINT (-76.380803 37.711045)"
67678,"Bells Cove Water System","municipal","Northumberland",51133,"POINT (-76.5596769 37.9692981)"
67679,"Boy Scouts at Bayport Campground","commercial","Middlesex",51119,"POINT (-76.6841488 37.750217)"
67680,"Thousand Trails (Chesapeake Bay Rv Resort)","municipal","Gloucester",51073,""
67681,"Greenhost Incorporated","irrigation","King George",51099,"POINT (-77.305083 38.255917)"
67682,"The Coves at Wilton Creek","municipal","Middlesex",51119,"POINT (-76.4192833 37.5261729)"
67683,"Maryfield","municipal","Essex",51057,"POINT (-76.8902287 37.9547192)"
67684,"Bush Park Mobile Home Park","municipal","Middlesex",51119,"POINT (-76.4460588 37.5512484)"
67685,"Cedar Pointe","municipal","Middlesex",51119,"POINT (-76.6652476 37.6742114)"
67686,"Arban & Carosi, Inc.","manufacturing","Prince William",51153,"POINT (-77.246764 38.652654)"
67687,"Canterbury Subdivision CWS","municipal","King George",51099,""
67688,"Gloucester County Public Utilities","municipal","Gloucester",51073,"POINT (-76.5475305 37.4323458)"
67689,"Pineview Mobile Home Park","municipal","King George",51099,"POINT (-77.161389 38.260639)"
67690,"Daingerfield","municipal","Essex",51057,"POINT (-76.875541 37.94548)"
67691,"Riverside Tappahannock Hospital","commercial","Essex",51057,"POINT (-76.878917 37.9009328)"
67692,"Town of Urbanna","municipal","Middlesex",51119,"POINT (-76.5771639 37.6380403)"
67693,"Town of Tappahannock","municipal","Essex",51057,"POINT (-76.8593487 37.9204583)"
67694,"Waterview Mobile Home Park","municipal","Gloucester",51073,""
67695,"Grey's Point Campground","commercial","Middlesex",51119,"POINT (-76.4429842 37.5999396)"
67696,"Nomini Bay Farms","municipal","Westmoreland",51193,"POINT (-76.7262967 38.123298)"
67697,"Bush Park Camping Resort","municipal","Middlesex",51119,"POINT (-76.3986422 37.5708006)"
